|                                                                                               TITILE |  YEAR |                                           DIRECTOR |                                                                                                STARS |  RATE |                                            REFLINK |
|                                                                                       Labirynt fauna |  2006 |                                 Guillermo del Toro |                                                      ('Ivana Baquero', 'Ariadna Gil', 'Sergi López') |   8.2 |              https://www.imdb.com/title/tt0457430/ |
|                                                                                    Mój sąsiad Totoro |  1988 |                                     Hayao Miyazaki |                                                ('Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto') |   8.2 |              https://www.imdb.com/title/tt0096283/ |
|                                                                                      Sekret jej oczu |  2009 |                               Juan José Campanella |                                                  ('Ricardo Darín', 'Soledad Villamil', 'Pablo Rago') |   8.2 |              https://www.imdb.com/title/tt1305806/ |
|                                                                                         Wściekły byk |  1980 |                                    Martin Scorsese |                                                    ('Robert De Niro', 'Cathy Moriarty', 'Joe Pesci') |   8.2 |              https://www.imdb.com/title/tt0081398/ |
|                                                                                           Porachunki |  1998 |                                        Guy Ritchie |                                                   ('Jason Flemyng', 'Dexter Fletcher', 'Nick Moran') |   8.2 |              https://www.imdb.com/title/tt0120735/ |
|                                                                                   Wilk z Wall Street |  2013 |                                    Martin Scorsese |                                                 ('Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie') |   8.2 |              https://www.imdb.com/title/tt0993846/ |
|                                                                                  Wyrok w Norymberdze |  1961 |                                     Stanley Kramer |                                               ('Spencer Tracy', 'Burt Lancaster', 'Richard Widmark') |   8.1 |              https://www.imdb.com/title/tt0055031/ |
|                                                                                   Skarb Sierra Madre |  1948 |                                        John Huston |                                                     ('Humphrey Bogart', 'Walter Huston', 'Tim Holt') |   8.1 |              https://www.imdb.com/title/tt0040897/ |
|                                                                                   Aż poleje się krew |  2007 |                               Paul Thomas Anderson |                                                    ('Daniel Day-Lewis', 'Paul Dano', 'Ciarán Hinds') |   8.1 |              https://www.imdb.com/title/tt0469494/ |
|                                                                                 Mój ojciec i mój syn |  2005 |                                        Çagan Irmak |                                                       ('Çetin Tekindor', 'Fikret Kuskan', 'Hümeyra') |   8.1 |              https://www.imdb.com/title/tt0476735/ |
|                                                                  Trzy billboardy za Ebbing, Missouri |  2017 |                                    Martin McDonagh |                                             ('Frances McDormand', 'Woody Harrelson', 'Sam Rockwell') |   8.1 |              https://www.imdb.com/title/tt5027774/ |
|                                                                                       Gorączka złota |  1925 |                                    Charles Chaplin |                                                      ('Charles Chaplin', 'Mack Swain', 'Tom Murray') |   8.1 |              https://www.imdb.com/title/tt0015864/ |
|                                                                                            Chinatown |  1974 |                                     Roman Polanski |                                                    ('Jack Nicholson', 'Faye Dunaway', 'John Huston') |   8.1 |              https://www.imdb.com/title/tt0071315/ |
|                                                                                     M jak morderstwo |  1954 |                                   Alfred Hitchcock |                                                    ('Ray Milland', 'Grace Kelly', 'Robert Cummings') |   8.1 |              https://www.imdb.com/title/tt0046912/ |
|                                                                                       Siódma pieczęć |  1957 |                                     Ingmar Bergman |                                              ('Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot') |   8.1 |              https://www.imdb.com/title/tt0050976/ |
|                                                                                       V jak Vendetta |  2005 |                                     James McTeigue |                                                 ('Hugo Weaving', 'Natalie Portman', 'Rupert Graves') |   8.1 |              https://www.imdb.com/title/tt0434409/ |
|                                                                              W głowie się nie mieści |  2015 |                                        Pete Docter |                                                         ('Amy Poehler', 'Bill Hader', 'Lewis Black') |   8.1 |              https://www.imdb.com/title/tt2096673/ |
|                                                                   To nie jest kraj dla starych ludzi |  2007 |                                         Ethan Coen |                                                  ('Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin') |   8.1 |              https://www.imdb.com/title/tt0477348/ |
|                                                                                             Wojownik |  2011 |                                     Gavin O'Connor |                                                         ('Tom Hardy', 'Nick Nolte', 'Joel Edgerton') |   8.1 |              https://www.imdb.com/title/tt1291584/ |
|                                                                                       Wyspa tajemnic |  2010 |                                    Martin Scorsese |                                              ('Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo') |   8.1 |              https://www.imdb.com/title/tt1130884/ |
|                                                                                        Trainspotting |  1996 |                                        Danny Boyle |                                                ('Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller') |   8.1 |              https://www.imdb.com/title/tt0117951/ |
|                                                                                        Człowiek słoń |  1980 |                                        David Lynch |                                                    ('Anthony Hopkins', 'John Hurt', 'Anne Bancroft') |   8.1 |              https://www.imdb.com/title/tt0080678/ |
|                                                                                         Szósty zmysł |  1999 |                                 M. Night Shyamalan |                                               ('Bruce Willis', 'Haley Joel Osment', 'Toni Collette') |   8.1 |              https://www.imdb.com/title/tt0167404/ |
|                                                                                                  Coś |  1982 |                                     John Carpenter |                                                   ('Kurt Russell', 'Wilford Brimley', 'Keith David') |   8.1 |              https://www.imdb.com/title/tt0084787/ |
|                                                                                                Pokój |  2015 |                                   Lenny Abrahamson |                                                   ('Brie Larson', 'Jacob Tremblay', 'Sean Bridgers') |   8.1 |              https://www.imdb.com/title/tt3170832/ |
|                                                                                 Przeminęło z wiatrem |  1939 |                                     Victor Fleming |                                                   ('Clark Gable', 'Vivien Leigh', 'Thomas Mitchell') |   8.1 |              https://www.imdb.com/title/tt0031381/ |
|                                                                                        Park jurajski |  1993 |                                   Steven Spielberg |                                                         ('Sam Neill', 'Laura Dern', 'Jeff Goldblum') |   8.1 |              https://www.imdb.com/title/tt0107290/ |
|                                                                                      Łowca androidów |  1982 |                                       Ridley Scott |                                                      ('Harrison Ford', 'Rutger Hauer', 'Sean Young') |   8.1 |              https://www.imdb.com/title/tt0083658/ |
|                                                                                   Most na rzece Kwai |  1957 |                                         David Lean |                                                  ('William Holden', 'Alec Guinness', 'Jack Hawkins') |   8.1 |              https://www.imdb.com/title/tt0050212/ |
|                                                                            Tam, gdzie rosną poziomki |  1957 |                                     Ingmar Bergman |                                               ('Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin') |   8.1 |              https://www.imdb.com/title/tt0050986/ |
|                                                                                     Gdzie jest Nemo? |  2003 |                                     Andrew Stanton |                                              ('Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould') |   8.1 |              https://www.imdb.com/title/tt0266543/ |
|                                                                                        Na nabrzeżach |  1954 |                                         Elia Kazan |                                                      ('Marlon Brando', 'Karl Malden', 'Lee J. Cobb') |   8.1 |              https://www.imdb.com/title/tt0047296/ |
|                                                                                      Trzeci człowiek |  1949 |                                         Carol Reed |                                                     ('Orson Welles', 'Joseph Cotten', 'Alida Valli') |   8.1 |              https://www.imdb.com/title/tt0041959/ |
|                                                                                              Stalker |  1979 |                                   Andrei Tarkovsky |                                ('Alisa Freyndlikh', 'Aleksandr Kaydanovskiy', 'Anatoliy Solonitsyn') |   8.1 |              https://www.imdb.com/title/tt0079944/ |
|                                                                                                Fargo |  1996 |                                          Joel Coen |                                            ('William H. Macy', 'Frances McDormand', 'Steve Buscemi') |   8.1 |              https://www.imdb.com/title/tt0116282/ |
|                                                                                            Kill Bill |  2003 |                                  Quentin Tarantino |                                                   ('Uma Thurman', 'David Carradine', 'Daryl Hannah') |   8.1 |              https://www.imdb.com/title/tt0266697/ |
|                                                                                          Truman Show |  1998 |                                         Peter Weir |                                                          ('Jim Carrey', 'Ed Harris', 'Laura Linney') |   8.1 |              https://www.imdb.com/title/tt0120382/ |
|                                                                                          Gran Torino |  2008 |                                     Clint Eastwood |                                                 ('Clint Eastwood', 'Bee Vang', 'Christopher Carley') |   8.1 |              https://www.imdb.com/title/tt1205489/ |
|                                                                                    Tokijska opowieść |  1953 |                                       Yasujirô Ozu |                                                  ('Chishû Ryû', 'Chieko Higashiyama', 'Sô Yamamura') |   8.1 |              https://www.imdb.com/title/tt0046438/ |
|                                                                                         Łowca jeleni |  1978 |                                     Michael Cimino |                                              ('Robert De Niro', 'Christopher Walken', 'John Cazale') |   8.1 |              https://www.imdb.com/title/tt0077416/ |
|                                                                                      Zagadka zbrodni |  2003 |                                       Bong Joon Ho |                                                     ('Kang-ho Song', 'Sang-kyung Kim', 'Roe-ha Kim') |   8.1 |              https://www.imdb.com/title/tt0353969/ |
|                                                                                      Dzikie historie |  2014 |                                     Damián Szifron |                                                ('Darío Grandinetti', 'María Marull', 'Mónica Villa') |   8.1 |              https://www.imdb.com/title/tt3011894/ |
|                                                                                 Ballada o rozbójniku |  1996 |                                       Yavuz Turgul |                                                       ('Sener Sen', 'Ugur Yücel', 'Sermin Hürmeriç') |   8.1 |              https://www.imdb.com/title/tt0116231/ |
|                                                                                            Andhadhun |  2018 |                                    Sriram Raghavan |                                                       ('Ayushmann Khurrana', 'Tabu', 'Radhika Apte') |   8.1 |              https://www.imdb.com/title/tt8108198/ |
|                                                                                                Klaus |  2019 |                                      Sergio Pablos |                                               ('Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones') |   8.1 |              https://www.imdb.com/title/tt4729430/ |
|                                                                                         Big Lebowski |  1998 |                                          Joel Coen |                                                   ('Jeff Bridges', 'John Goodman', 'Julianne Moore') |   8.1 |              https://www.imdb.com/title/tt0118715/ |
|                                                                                           Mary i Max |  2009 |                                        Adam Elliot |                                             ('Toni Collette', 'Philip Seymour Hoffman', 'Eric Bana') |   8.1 |              https://www.imdb.com/title/tt0978762/ |
|                                                                                          W imię ojca |  1993 |                                       Jim Sheridan |                                         ('Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie') |   8.1 |              https://www.imdb.com/title/tt0107207/ |
|                                                                                 Zaginiona dziewczyna |  2014 |                                      David Fincher |                                              ('Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris') |   8.1 |              https://www.imdb.com/title/tt2267998/ |
|                                                                                   Przełęcz ocalonych |  2016 |                                         Mel Gibson |                                                ('Andrew Garfield', 'Sam Worthington', 'Luke Bracey') |   8.1 |              https://www.imdb.com/title/tt2119532/ |
|                                                                                 Grand Budapest Hotel |  2014 |                                       Wes Anderson |                                            ('Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric') |   8.1 |              https://www.imdb.com/title/tt2278388/ |
|                                                                                          Le Mans '66 |  2019 |                                      James Mangold |                                                     ('Matt Damon', 'Christian Bale', 'Jon Bernthal') |   8.1 |              https://www.imdb.com/title/tt1950186/ |
|                                                                      Pan Smith jedzie do Waszyngtonu |  1939 |                                        Frank Capra |                                                     ('James Stewart', 'Jean Arthur', 'Claude Rains') |   8.1 |              https://www.imdb.com/title/tt0031679/ |
|                                                                                              Persona |  1966 |                                     Ingmar Bergman |                                                ('Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook') |   8.1 |              https://www.imdb.com/title/tt0060827/ |
|                                                                                 Jak wytresować smoka |  2010 |                                       Dean DeBlois |                                        ('Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse') |   8.1 |              https://www.imdb.com/title/tt0892769/ |
|                                                                                              Generał |  1926 |                                     Clyde Bruckman |                                                    ('Buster Keaton', 'Marion Mack', 'Glen Cavender') |   8.1 |              https://www.imdb.com/title/tt0017925/ |
|                                                                                Przed wschodem słońca |  1995 |                                  Richard Linklater |                                                      ('Ethan Hawke', 'Julie Delpy', 'Andrea Eckert') |   8.1 |              https://www.imdb.com/title/tt0112471/ |
|                                                                           Złap mnie, jeśli potrafisz |  2002 |                                   Steven Spielberg |                                             ('Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken') |   8.1 |              https://www.imdb.com/title/tt0264464/ |
|                                                                                Młody Sherlock Holmes |  1924 |                                      Buster Keaton |                                                   ('Buster Keaton', 'Kathryn McGuire', 'Joe Keaton') |   8.1 |              https://www.imdb.com/title/tt0015324/ |
|                                                                                             Labirynt |  2013 |                                   Denis Villeneuve |                                                   ('Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis') |   8.1 |              https://www.imdb.com/title/tt1392214/ |
|                                                                                           Zniewolony |  2013 |                                      Steve McQueen |                               ('Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender') |   8.1 |              https://www.imdb.com/title/tt2024544/ |
|                                                                                       Nieugięty Luke |  1967 |                                   Stuart Rosenberg |                                                 ('Paul Newman', 'George Kennedy', 'Strother Martin') |   8.1 |              https://www.imdb.com/title/tt0061512/ |
|                                                                            Mad Max: Na drodze gniewu |  2015 |                                      George Miller |                                                   ('Tom Hardy', 'Charlize Theron', 'Nicholas Hoult') |   8.1 |              https://www.imdb.com/title/tt1392190/ |
|                                                                                         Cena strachu |  1953 |                              Henri-Georges Clouzot |                                                  ('Yves Montand', 'Charles Vanel', 'Peter van Eyck') |   8.1 |              https://www.imdb.com/title/tt0046268/ |
|                                                                                       Stań przy mnie |  1986 |                                         Rob Reiner |                                                    ('Wil Wheaton', 'River Phoenix', 'Corey Feldman') |   8.1 |              https://www.imdb.com/title/tt0092005/ |
|                                                                                                 Sieć |  1976 |                                       Sidney Lumet |                                                    ('Faye Dunaway', 'William Holden', 'Peter Finch') |   8.1 |              https://www.imdb.com/title/tt0074958/ |
|                                                                                    Wszystko za życie |  2007 |                                          Sean Penn |                                                 ('Emile Hirsch', 'Vince Vaughn', 'Catherine Keener') |   8.1 |              https://www.imdb.com/title/tt0758758/ |
|                                                                                         Barry Lyndon |  1975 |                                    Stanley Kubrick |                                                  ("Ryan O'Neal", 'Marisa Berenson', 'Patrick Magee') |   8.1 |              https://www.imdb.com/title/tt0072684/ |
|                                                                                         Żywot Briana |  1979 |                                        Terry Jones |                                                   ('Graham Chapman', 'John Cleese', 'Michael Palin') |   8.1 |              https://www.imdb.com/title/tt0079470/ |
|                                                                                      Za wszelką cenę |  2004 |                                     Clint Eastwood |                                                 ('Hilary Swank', 'Clint Eastwood', 'Morgan Freeman') |   8.1 |              https://www.imdb.com/title/tt0405159/ |
|                                                                                               Pluton |  1986 |                                       Oliver Stone |                                                    ('Charlie Sheen', 'Tom Berenger', 'Willem Dafoe') |   8.1 |              https://www.imdb.com/title/tt0091763/ |
|                                                                               Mój przyjaciel Hachiko |  2009 |                                    Lasse Hallström |                                               ('Richard Gere', 'Joan Allen', 'Cary-Hiroyuki Tagawa') |   8.1 |              https://www.imdb.com/title/tt1028532/ |
|                                                                                              Ben Hur |  1959 |                                      William Wyler |                                                  ('Charlton Heston', 'Jack Hawkins', 'Stephen Boyd') |   8.1 |              https://www.imdb.com/title/tt0052618/ |
|                                                                                               Wyścig |  2013 |                                         Ron Howard |                                                  ('Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde') |   8.1 |              https://www.imdb.com/title/tt1979320/ |
|                                                                                     Logan: Wolverine |  2017 |                                      James Mangold |                                                    ('Hugh Jackman', 'Patrick Stewart', 'Dafne Keen') |   8.0 |              https://www.imdb.com/title/tt3315342/ |
|                                                                                       Andriej Rublow |  1966 |                                   Andrei Tarkovsky |                                            ('Anatoliy Solonitsyn', 'Ivan Lapikov', 'Nikolay Grinko') |   8.0 |              https://www.imdb.com/title/tt0060107/ |
|                                                                              Męczeństwo Joanny d'Arc |  1928 |                                Carl Theodor Dreyer |                                               ('Maria Falconetti', 'Eugene Silvain', 'André Berley') |   8.0 |              https://www.imdb.com/title/tt0019254/ |
|                                                            Harry Potter i Insygnia Śmierci: Część II |  2011 |                                        David Yates |                                                  ('Daniel Radcliffe', 'Emma Watson', 'Rupert Grint') |   8.0 |              https://www.imdb.com/title/tt1201607/ |
|                                                                       Stowarzyszenie Umarłych Poetów |  1989 |                                         Peter Weir |                                             ('Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke') |   8.0 |              https://www.imdb.com/title/tt0097165/ |
|                                                                                      Czterysta batów |  1959 |                                  François Truffaut |                                               ('Jean-Pierre Léaud', 'Albert Rémy', 'Claire Maurier') |   8.0 |              https://www.imdb.com/title/tt0053198/ |
|                                                                                       Kolor szafranu |  2006 |                            Rakeysh Omprakash Mehra |                                                         ('Aamir Khan', 'Soha Ali Khan', 'Siddharth') |   8.0 |              https://www.imdb.com/title/tt0405508/ |
|                                                                                        Amores perros |  2000 |                              Alejandro G. Iñárritu |                                           ('Emilio Echevarría', 'Gael García Bernal', 'Goya Toledo') |   8.0 |              https://www.imdb.com/title/tt0245712/ |
|                                                                                         Hotel Ruanda |  2004 |                                       Terry George |                                                 ('Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix') |   8.0 |              https://www.imdb.com/title/tt0395169/ |
|                                                                             Nausicaä z Doliny Wiatru |  1984 |                                     Hayao Miyazaki |                                               ('Sumi Shimamoto', 'Mahito Tsujimura', 'Hisako Kyôda') |   8.0 |              https://www.imdb.com/title/tt0087544/ |
|                                                                                            Spotlight |  2015 |                                       Tom McCarthy |                                                 ('Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams') |   8.0 |              https://www.imdb.com/title/tt1895587/ |
|                                                                                              Służąca |  2016 |                                     Chan-wook Park |                                                      ('Min-hee Kim', 'Jung-woo Ha', 'Jin-woong Cho') |   8.0 |              https://www.imdb.com/title/tt4016934/ |
|                                                                                               Rebeka |  1940 |                                   Alfred Hitchcock |                                              ('Laurence Olivier', 'Joan Fontaine', 'George Sanders') |   8.0 |              https://www.imdb.com/title/tt0032976/ |
|                                                                                                Rocky |  1976 |                                   John G. Avildsen |                                                  ('Sylvester Stallone', 'Talia Shire', 'Burt Young') |   8.0 |              https://www.imdb.com/title/tt0075148/ |
|                                                                              Portret kobiety w ogniu |  2019 |                                     Céline Sciamma |                                                  ('Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami') |   8.0 |              https://www.imdb.com/title/tt8613070/ |
|                                                                                     Potwory i spółka |  2001 |                                        Pete Docter |                                                      ('Billy Crystal', 'John Goodman', 'Mary Gibbs') |   8.0 |              https://www.imdb.com/title/tt0198781/ |
|                                                                                            Nienawiść |  1995 |                                  Mathieu Kassovitz |                                                ('Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui') |   8.0 |              https://www.imdb.com/title/tt0113247/ |
|                                                                                             Ich noce |  1934 |                                        Frank Capra |                                              ('Clark Gable', 'Claudette Colbert', 'Walter Connolly') |   8.0 |              https://www.imdb.com/title/tt0025316/ |
|                                                                                   Spragnieni miłości |  2000 |                                       Kar-Wai Wong |                                             ('Tony Chiu-Wai Leung', 'Maggie Cheung', 'Ping Lam Siu') |   8.0 |              https://www.imdb.com/title/tt0118694/ |
|                                                                                Przed zachodem słońca |  2004 |                                  Richard Linklater |                                                   ('Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff') |   8.0 |              https://www.imdb.com/title/tt0381681/ |
|                                                                                    Gangi z Wasseypur |  2012 |                                     Anurag Kashyap |                                            ('Manoj Bajpayee', 'Richa Chadha', 'Nawazuddin Siddiqui') |   8.0 |              https://www.imdb.com/title/tt1954470/ |
|                                                                               Narzeczona dla księcia |  1987 |                                         Rob Reiner |                                                     ('Cary Elwes', 'Mandy Patinkin', 'Robin Wright') |   8.0 |              https://www.imdb.com/title/tt0093779/ |
|                                                                                       As w potrzasku |  1951 |                                       Billy Wilder |                                                    ('Kirk Douglas', 'Jan Sterling', 'Robert Arthur') |   8.0 |              https://www.imdb.com/title/tt0043338/ |
|                                                                                              Służące |  2011 |                                        Tate Taylor |                                                     ('Emma Stone', 'Viola Davis', 'Octavia Spencer') |   8.0 |              https://www.imdb.com/title/tt1454029/ |
|                                                                                  Czerwone pantofelki |  1948 |                                     Michael Powell |                                                 ('Anton Walbrook', 'Marius Goring', 'Moira Shearer') |   8.0 |              https://www.imdb.com/title/tt0040725/ |
|                                                                                        Paryż, Teksas |  1984 |                                        Wim Wenders |                                         ('Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell') |   8.0 |              https://www.imdb.com/title/tt0087884/ |
|                                                                                    Niewidzialny gość |  2016 |                                        Oriol Paulo |                                                      ('Mario Casas', 'Ana Wagener', 'Jose Coronado') |   8.0 |              https://www.imdb.com/title/tt4857264/ |
|                                                                                           Terminator |  1984 |                                      James Cameron |                                         ('Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn') |   8.0 |              https://www.imdb.com/title/tt0088247/ |
|                                                                                             Drishyam |  2015 |                                    Nishikant Kamat |                                                               ('Ajay Devgn', 'Shriya Saran', 'Tabu') |   8.0 |              https://www.imdb.com/title/tt4430212/ |
|                                                                         Lagaan: Dawno temu w Indiach |  2001 |                                 Ashutosh Gowariker |                                                      ('Aamir Khan', 'Raghuvir Yadav', 'Gracy Singh') |   8.0 |              https://www.imdb.com/title/tt0169102/ |
|                                                                         Butch Cassidy i Sundance Kid |  1969 |                                    George Roy Hill |                                                  ('Paul Newman', 'Robert Redford', 'Katharine Ross') |   8.0 |              https://www.imdb.com/title/tt0064115/ |
|                                                                                                Akira |  1988 |                                    Katsuhiro Ôtomo |                                                     ('Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama') |   8.0 |              https://www.imdb.com/title/tt0094625/ |
|                                                                                               Aladyn |  1992 |                                       Ron Clements |                                                  ('Scott Weinger', 'Robin Williams', 'Linda Larkin') |   8.0 |              https://www.imdb.com/title/tt0103639/ |
|                                                                                                   PK |  2014 |                                    Rajkumar Hirani |                                                      ('Aamir Khan', 'Anushka Sharma', 'Sanjay Dutt') |   8.0 |              https://www.imdb.com/title/tt2338151/ |
|                                                                                           Zimowy sen |  2014 |                                  Nuri Bilge Ceylan |                                                    ('Haluk Bilginer', 'Melisa Sözen', 'Demet Akbag') |   8.0 |              https://www.imdb.com/title/tt2758880/ |
|                                                                                   Fanny i Aleksander |  1982 |                                     Ingmar Bergman |                                             ('Bertil Guve', 'Pernilla Allwin', 'Kristina Adolphson') |   8.0 |              https://www.imdb.com/title/tt0083922/ |
|                                                                                         Tron we krwi |  1957 |                                     Akira Kurosawa |                                                  ('Toshirô Mifune', 'Minoru Chiaki', 'Isuzu Yamada') |   8.0 |              https://www.imdb.com/title/tt0050613/ |
