|                                                                                               TITILE |  YEAR |                                           DIRECTOR |                                                                                                STARS |  RATE |                                            REFLINK |
|                                                                                           Podejrzani |  1995 |                                       Bryan Singer |                                                ('Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri') |   8.5 |              https://www.imdb.com/title/tt0114814/ |
|                                                                                             Harakiri |  1962 |                                   Masaki Kobayashi |                                              ('Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita') |   8.5 |              https://www.imdb.com/title/tt0056058/ |
|                                                                                             Król Lew |  1994 |                                       Roger Allers |                                            ('Matthew Broderick', 'Jeremy Irons', 'James Earl Jones') |   8.5 |              https://www.imdb.com/title/tt0110357/ |
|                                                                                   Więzień nienawiści |  1998 |                                          Tony Kaye |                                              ('Edward Norton', 'Edward Furlong', "Beverly D'Angelo") |   8.5 |              https://www.imdb.com/title/tt0120586/ |
|                                                                                             Pianista |  2002 |                                     Roman Polanski |                                               ('Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay') |   8.5 |              https://www.imdb.com/title/tt0253474/ |
|                                                                             Terminator 2: Dzień sądu |  1991 |                                      James Cameron |                                        ('Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong') |   8.5 |              https://www.imdb.com/title/tt0103064/ |
|                                                                                Powrót do przyszłości |  1985 |                                    Robert Zemeckis |                                              ('Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson') |   8.5 |              https://www.imdb.com/title/tt0088763/ |
|                                                                                     Dzisiejsze czasy |  1936 |                                    Charles Chaplin |                                             ('Charles Chaplin', 'Paulette Goddard', 'Henry Bergman') |   8.5 |              https://www.imdb.com/title/tt0027977/ |
|                                                                                             Psychoza |  1960 |                                   Alfred Hitchcock |                                                     ('Anthony Perkins', 'Janet Leigh', 'Vera Miles') |   8.5 |              https://www.imdb.com/title/tt0054215/ |
|                                                                                            Gladiator |  2000 |                                       Ridley Scott |                                               ('Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen') |   8.5 |              https://www.imdb.com/title/tt0172495/ |
